filename,label,origin
fallow_deer_s_000223.png,4.0,cifar10
powerboat_s_000315.png,8.0,cifar10
mule_deer_s_000446.png,4.0,cifar10
poppy_s_002188.png,11.0,cifar100
convertible_s_001050.png,1.0,cifar10
police_cruiser_s_000367.png,1.0,cifar10
cat_s_001819.png,3.0,cifar10
arabian_s_000321.png,7.0,cifar10
cur_s_000062.png,5.0,cifar10
coupe_s_000436.png,1.0,cifar10
quarter_horse_s_001317.png,7.0,cifar10
spadefoot_s_000275.png,6.0,cifar10
rotated_sunflower_s_002246.png,11.0,cifar100
green_frog_s_000609.png,6.0,cifar10
carassius_auratus_s_000304.png,10.0,cifar100
broodmare_s_001614.png,7.0,cifar10
sunflower_s_001350.png,11.0,cifar100
tabby_s_001057.png,3.0,cifar10
fallow_deer_s_000013.png,4.0,cifar10
rotated_bitter_orange_tree_s_000082.png,12.0,cifar100
delivery_truck_s_000367.png,9.0,cifar10
broodmare_s_001273.png,7.0,cifar10
apple_s_000536.png,12.0,cifar100
speedboat_s_001086.png,8.0,cifar10
rotated_belle_s_000113.png,13.0,cifar100
maltese_s_002232.png,5.0,cifar10
rotated_stingray_s_001356.png,10.0,cifar100
pekingese_s_001831.png,5.0,cifar10
automobile_s_001434.png,1.0,cifar10
tulip_s_000853.png,11.0,cifar100
alauda_arvensis_s_000178.png,2.0,cifar10
cassowary_s_002025.png,2.0,cifar10
sunflower_s_000804.png,11.0,cifar100
english_toy_spaniel_s_001014.png,5.0,cifar10
stealth_fighter_s_000666.png,0.0,cifar10
rotated_butterfly_orchid_s_001362.png,11.0,cifar100
powerboat_s_000160.png,8.0,cifar10
lorry_s_000302.png,9.0,cifar10
nandu_s_000092.png,2.0,cifar10
grass_frog_s_001275.png,6.0,cifar10
tulip_s_000011.png,11.0,cifar100
sound_truck_s_001542.png,9.0,cifar10
mushroom_s_002163.png,12.0,cifar100
walking_horse_s_000184.png,7.0,cifar10
toad_frog_s_000668.png,6.0,cifar10
rotated_maple_s_001797.png,14.0,cifar100
rotated_infant_s_000089.png,13.0,cifar100
cervus_sika_s_000002.png,4.0,cifar10
acer_saccharinum_s_001603.png,14.0,cifar100
willow_tree_s_002363.png,14.0,cifar100
alley_cat_s_002077.png,3.0,cifar10
tomcat_s_000919.png,3.0,cifar10
sunflower_s_000138.png,11.0,cifar100
rotated_maple_s_001321.png,14.0,cifar100
rotated_flounder_s_000123.png,10.0,cifar100
dromaius_novaehollandiae_s_000094.png,2.0,cifar10
rotated_lady_tulip_s_000048.png,11.0,cifar100
rhea_s_000703.png,2.0,cifar10
quercus_cerris_s_000530.png,14.0,cifar100
tomcat_s_000114.png,3.0,cifar10
mountain_rose_s_001069.png,11.0,cifar100
compact_car_s_000511.png,1.0,cifar10
rotated_infant_s_000905.png,13.0,cifar100
arabian_s_001400.png,7.0,cifar10
cat_s_002391.png,3.0,cifar10
trucking_rig_s_001674.png,9.0,cifar10
passerine_s_001090.png,2.0,cifar10
maltese_s_000536.png,5.0,cifar10
tabby_cat_s_000540.png,3.0,cifar10
attack_aircraft_s_000601.png,0.0,cifar10
rotated_female_child_s_000978.png,13.0,cifar100
female_child_s_001528.png,13.0,cifar100
rotated_sunflower_s_001701.png,11.0,cifar100
compact_car_s_001900.png,1.0,cifar10
automobile_s_001644.png,1.0,cifar10
caribou_s_000694.png,4.0,cifar10
rhea_americana_s_000391.png,2.0,cifar10
toad_frog_s_000985.png,6.0,cifar10
tabby_s_001080.png,3.0,cifar10
rotated_acer_saccharum_s_000985.png,14.0,cifar100
bird_of_passage_s_000427.png,2.0,cifar10
